ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
SBIZ,IMP,IMPERATRIZ,IMPERATRIZ,BRAZIL,-5.531000000000001,-47.46
SBJA,RIJ,,RIOJA,PERU,0.0,0.0
SBJC,,JULIO CESAR,BELEM,BRAZIL,-1.4140000000000001,-48.461000000000006
SBJF,JDF,FRANCISCO DE ASSIS,JUIZ DE FORA,BRAZIL,-21.791,-43.387
SBJP,JPA,INTL. PRES. CASTRO PINTO,JOAO PESSOA,BRAZIL,-7.27,-35.896
SBJR,,,RIO DE JANEIRO,BRAZIL,0.0,0.0
SBJV,JOI,JOINVILLE,JOINVILLE,BRAZIL,-26.225,-48.797
SBKG,CPV,,CAMPINA GRANDE,BRAZIL,0.0,0.0
SBKP,VCP,VIRACOPOS,CAMPINAS,BRAZIL,-23.008000000000003,-47.13399999999999
SBLJ,,LAGES,LAJES,BRAZIL,-27.781999999999996,-50.281000000000006
SBLN,LIP,LINS,LINS,BRAZIL,-21.664,-49.73
SBLO,LDB,LONDRINA,LONDRINA,BRAZIL,-23.334,-51.13
SBLP,LAZ,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BRAZIL,-13.262,-43.408
SBLS,,LAGOA SANTA,LAGOA SANTA,BRAZIL,-19.660999999999998,-43.896
SBMA,MAB,MARABA,MARABA,BRAZIL,-5.367999999999999,-49.138000000000005
SBMD,,MONTE DOURADO,ALMEIRIM,BRAZIL,-0.89,-52.602
SBMG,MGF,MARINGA,MARINGA,BRAZIL,-23.44,-51.907
SBMK,MOC,MONTES CLAROS,MONTES CLAROS,BRAZIL,-16.707,-43.818999999999996
SBML,,MARILIA,MARILIA,BRAZIL,-22.197,-49.926
SBMN,,PONTA PELADA,MANAUS,BRAZIL,-3.1460000000000004,-59.986000000000004
SBMO,MCZ,ZUMBI DOS PALMARES,MACEIO,BRAZIL,-9.51,-35.793
SBMQ,MCP,MACAPA,MACAPA,BRAZIL,0.051,-51.071999999999996
SBMR,,,MANOEL RIBAS,BRAZIL,0.0,0.0
SBMS,,DIX SEPT ROSADO,MOCORD,BRAZIL,-5.202000000000001,-37.364000000000004
SBMT,,MARTE,SAO PAULO,BRAZIL,-23.509,-46.638000000000005
SBMY,,MANICORE,MANICORE,BRAZIL,-5.811,-61.278999999999996
SBNF,NVT,NAVEGANTES ITAJAI,NAVEGANTES,BRAZIL,-26.88,-48.651
SBNM,GEL,SANTO ANGELO,SANTO ANGELO,BRAZIL,-28.281999999999996,-54.169
SBNT,NAT,AUGUSTO SEVERO,NATAL,BRAZIL,-5.9110000000000005,-35.248000000000005
SBOI,,OIAPOQUE,OIOIAPOQUE,BRAZIL,3.855,-51.797
SBOU,OUS,,OURINHOS,BRAZIL,0.0,0.0
SBPA,POA,SALGADO FILHO,PORTO ALEGRE,BRAZIL,-29.994,-51.17100000000001
SBPB,,PARNAIBA,PARNAIBA,BRAZIL,-2.8939999999999997,-41.732
